;Resene RGB Values List
;For further information refer to http://www.resene.co.nz
;Copyright Resene Paints Ltd 2001
;
;Permission to copy this software, to modify it, to redistribute it,
;to distribute modified versions, and to use it for any purpose is
;granted, subject to the following restrictions and understandings.
;
;1. Any text copy made of this dictionary must include this copyright
;notice in full.
;
;2. Any redistribution in binary form must reproduce this copyright
;notice in the documentation or other materials provided with the
;distribution.
;
;3. Resene Paints Ltd makes no warranty or representation that this
;dictionary is error-free, and is under no obligation to provide
;any services, by way of maintenance, update, or otherwise.
;
;4. There shall be no use of the name of Resene or Resene Paints Ltd in
;any advertising, promotional, or sales literature without prior
;written consent in each case.
;
;5. These RGB* colour formulations may not be used to the detriment of
;Resene Paints Ltd.
;
;*Modified to be hexidecimal format 
Resene Cola    #3f2500
Resene Cold Purple    #aba0d9
Resene Cold Turkey    #cebaba
Resene Colonial White    #ffedbc
Resene Comet    #5c5d75
Resene Como    #517c66
Resene Conch    #c9d9d2
Resene Concord    #7c7b7a
Resene Concrete    #f2f2f2
Resene Confetti    #e9d75a
Resene Congo Brown    #593737
Resene Conifer    #acdd4d
Resene Contessa    #c6726b
Resene Copper Canyon    #7e3a15
Resene Copper Rust    #944747
Resene Coral    #c7bca2
Resene Coral Candy    #ffdcd6
Resene Coral Tree    #a86b6b
Resene Corduroy    #606e68
Resene Coriander    #c4d0b0
Resene Cork    #40291d
Resene Corn    #e7bf05
Resene Corn Field    #f8facd
Resene Corn Harvest    #8b6b0b
Resene Cornflower    #ffb0ac
Resene Corvette    #fad3a2
Resene Cosmic    #76395d
Resene Cosmos    #ffd8d9
Resene Costa Del Sol    #615d30
Resene Cotton Seed    #c2bdb6
Resene County Green    #01371a
Resene Cove Grey    #051657
Resene Cowboy    #4d282d
Resene Crab Apple    #a02712
Resene Crail    #b95140
Resene Cranberry    #b6316c
Resene Crater Brown    #462425
Resene Cream Brulee    #ffe5a0
Resene Cream Can    #f5c85c
Resene Creme De Banane    #fffc99
Resene Creole    #1e0f04
Resene Crete    #737829
Resene Crocodile    #736d58
Resene Crown of Thorns    #771f1f
Resene Crowshead    #1c1208
Resene Cruise    #b5ecdf
Resene Crusoe    #004816
Resene Crusta    #fd7b33
Resene Cuban Tan    #2a140e
Resene Cumin    #924321
Resene Cumulus    #fdffd5
Resene Cupid    #fbbeda
Resene Curious Blue    #2596d1
Resene Cutty Sark    #507672
Resene Cyprus    #003e40
Resene Daintree    #012731
Resene Dairy Cream    #f9e4bc
Resene Daisy Bush    #4f2398
Resene Dallas    #6e4b26
Resene Danube    #6093d1
Resene Dark Ebony    #3c2005
Resene Dark Oak    #612718
Resene Dark Rimu    #5f3d26
Resene Dark Rum    #412010
Resene Dark Slate    #394851
Resene Dark Tan    #661010
Resene Dawn    #a6a29a
Resene Dawn Pink    #f3e9e5
Resene De York    #7ac488
Resene Deco    #d2da97
Resene Deep Blush    #e47698
Resene Deep Bronze    #4a3004
Resene Deep Cove    #051040
Resene Deep Fir    #002900
Resene Deep Koamaru    #1b127b
Resene Deep Oak    #412010
Resene Deep Sea    #01826b
Resene Deep Teal    #003532
Resene Del Rio    #b09a95
Resene Dell    #396413
Resene Delta    #a4a49d
Resene Deluge    #7563a8
Resene Derby    #ffeed8
Resene Desert    #ae6020
Resene Desert Storm    #f8f8f7
Resene Dew    #eafffe
Resene Di Serria    #db995e
Resene Diesel    #130000
Resene Dingley    #5d7747
Resene Disco    #871550
Resene Dixie    #e29418
Resene Dolly    #f9ff8b
Resene Dolphin    #646077
Resene Domino    #8e775e
Resene Don Juan    #5d4c51
Resene Donkey Brown    #a69279
Resene Dorado    #6b5755
Resene Double Colonial White    #eee3ad
Resene Double Pearl Lusta    #fcf4d0
Resene Double Spanish White    #e6d7b9
Resene Dove Grey    #6d6c6c
Resene Downriver    #092256
Resene Downy    #6fd0c5
Resene Driftwood    #af8751
Resene Drover    #fdf7ad
Resene Dune    #383533
Resene Dust Storm    #e5ccc9
Resene Dusty Grey    #a8989b
Resene Dutch White    #fff8d1
Resene Eagle    #b6baa4
Resene Earls Green    #c9b93b
Resene Early Dawn    #fff9e6
Resene East Bay    #414c7d
Resene East Side    #ac91ce
Resene Eastern Blue    #1e9ab0
Resene Ebb    #e9e3e3
Resene Ebony    #0c0b1d
Resene Ebony Clay    #26283b
Resene Echo Blue    #afbdd9
Resene Eclipse    #311c17
Resene Ecru White    #f5f3e5
Resene Ecstasy    #fa7814
Resene Eden    #105852
Resene Edgewater    #c8e3d7
Resene Edward    #a2aeab
Resene Egg Sour    #fff4dd
Resene Egg White    #ffefc1
Resene El Paso    #1e1708
Resene El Salva    #8f3e33
Resene Elephant    #123447
Resene Elf Green    #088370
Resene Elm    #1c7c7d
Resene Embers    #a02712
Resene Eminence    #6c3082
Resene Emperor    #514649
Resene Empress    #817377
Resene Endeavour    #0056a7
Resene Energy Yellow    #f8dd5c
Resene English Holly    #022d15
Resene English Walnut    #3e2b23
Resene Envy    #8ba690
Resene Equator    #e1bc64
Resene Espresso    #612718
Resene Eternity    #211a0e
Resene Eucalyptus    #278a5b
Resene Eunry    #cfa39d
Resene Evening Sea    #024e46
Resene Everglade    #1c402e
Resene Fair Pink    #ffefec
Resene Falcon    #7f626d
Resene Fantasy    #faf3f0
Resene Fedora    #796a78
Resene Feijoa    #9fdd8c
Resene Fern    #0a480d
Resene Fern Frond    #657220
Resene Ferra    #704f50
Resene Festival    #fbe96c
Resene Feta    #f0fcea
Resene Fiery Orange    #b35213
Resene Fiji Green    #657220
Resene Finch    #626649
Resene Finlandia    #556d56
Resene Finn    #692d54
Resene Fiord    #405169
Resene Fire    #aa4203
Resene Fire Bush    #e89928
Resene Firefly    #0e2a30
Resene Flame Pea    #da5b38
Resene Flame Red    #c7031e
Resene Flamenco    #ff7d07
Resene Flamingo    #f2552a
Resene Flax    #7b8265
Resene Flint    #6f6a61
Resene Flirt    #a2006d
Resene Foam    #d8fcfa
Resene Fog    #d7d0ff
Resene Foggy Grey    #cbcab6
Resene Forest Green    #182d09
Resene Forget Me Not    #fff1ee
Resene Fountain Blue    #56b4be
Resene Frangipani    #ffdeb3
Resene French Grey    #bdbdc6
Resene French Lilac    #ecc7ee
Resene French Pass    #bdedfd
Resene Friar Grey    #807e79
Resene Fringy Flower    #b1e2c1
Resene Froly    #f57584
Resene Frost    #edf5dd
Resene Frosted Mint    #dbfff8
Resene Frostee    #e4f6e7
Resene Fruit Salad    #4f9d5d
Resene Fuchsia    #7a58c1
Resene Fuego    #bede0d
Resene Fuel Yellow    #eca927
Resene Fun Blue    #1959a8
Resene Fun Green    #016d39
Resene Fuscous Grey    #54534d
Resene Gable Green    #163531
Resene Gallery    #efefef
Resene Galliano    #dcb20c
Resene Geebung    #d18f1b
Resene Genoa    #15736b
Resene Geraldine    #fb8989
Resene Geyser    #d4dfe2
Resene Ghost    #c7c9d5
Resene Gigas    #523c94
Resene Gimblet    #b8b56a
Resene Gin    #e8f2eb
Resene Gin Fizz    #fff9e2
Resene Givry    #f8e4bf
Resene Glacier    #80b3c4
Resene Glade Green    #61845f
Resene Go Ben    #726d4e
Resene Goblin    #3d7d52
Resene Gold Drop    #f18200
Resene Gold Tips    #deba13
Resene Golden Bell    #e28913
Resene Golden Dream    #f0d52d
Resene Golden Fizz    #f5fb3d
Resene Golden Glow    #fde295
Resene Golden Sand    #f0db7d
Resene Golden Tainoi    #ffcc5c
Resene Gondola    #261414
Resene Gordons Green    #0b1107
Resene Gorse    #fff14f
Resene Gossamer    #069b81
Resene Gossip    #d2f8b0
Resene Gothic    #6d92a1
Resene Governor Bay    #2f3cb3
Resene Grain Brown    #e4d5b7
Resene Grandis    #ffd38c
Resene Granite Green    #8d8974
Resene Granny Apple    #d5f6e3
Resene Granny Smith    #84a0a0
Resene Grape    #381a51
Resene Graphite    #251607
Resene Grass Hopper    #7c7631
Resene Gravel    #4a444b
Resene Green House    #24500f
Resene Green Kelp    #25311c
Resene Green Leaf    #436a0d
Resene Green Mist    #cbd3b0
Resene Green Pea    #1d6142
Resene Green Smoke    #a4af6e
Resene Green Spring    #b8c1b1
Resene Green Vogue    #032b52
Resene Green Waterloo    #101405
Resene Green White    #e8ebe0
Resene Greenstone    #003e40
Resene Grenadier    #d54600
Resene Grey Chateau    #a2aab3
Resene Grey Green    #454936
Resene Grey Nickel    #c3c3bd
Resene Grey Nurse    #e7ece6
Resene Grey Olive    #a9a491
Resene Grey Suit    #c1becd
Resene Guardsman Red    #ba0101
Resene Gulf Blue    #051657
Resene Gulf Stream    #80b3ae
Resene Gull Grey    #9dacb7
Resene Gum Leaf    #b6d3bf
Resene Gumbo    #7ca1a6
Resene Gun Powder    #414257
Resene Gunmetal    #020d15
Resene Gunsmoke    #828685
Resene Gurkha    #9a9577
Resene Hacienda    #98811b
Resene Hairy Heath    #6b2a14
Resene Haiti    #1b1035
Resene Half and Half    #fffee1
Resene Half Baked    #85c4cc
Resene Half Colonial White    #fdf6d3
Resene Half Dutch White    #fef7de
Resene Half Pearl Lusta    #fffcea
Resene Half Spanish White    #fef4db
Resene Hampton    #e5d8af
Resene Harp    #e6f2ea
Resene Harvest Gold    #e0b974
Resene Havana    #341515
Resene Havelock Blue    #5590d9
Resene Hawaiian Tan    #9d5616
Resene Hawkes Blue    #d4e2fc
Resene Heath    #541012
Resene Heather    #b7c3d0
Resene Heathered Grey    #b6b095
Resene Heavy Metal    #2b3228
Resene Hemlock    #5e5d3b
Resene Hemp    #907874
Resene Hibiscus    #b6316c
Resene Highball    #908d39
Resene Highland    #6f8e63
Resene Hillary    #aca586
Resene Himalaya    #6a5d1b
Resene Hint of Green    #e6ffe9
Resene Hint of Grey    #fcfff9
Resene Hint of Red    #f9f9f9
Resene Hint of Yellow    #fafde4
Resene Hippie Blue    #589aaf
Resene Hippie Green    #53824b
Resene Hippie Pink    #ae4560
Resene Hit Grey    #a1adb5
Resene Hit Pink    #ffab81
Resene Hokey Pokey    #c8a528
Resene Hoki    #65869f
Resene Holly    #011d13
Resene Honey Flower    #4f1c70
Resene Honeysuckle    #edfc84
Resene Hopbush    #d06da1
Resene Horizon    #5a87a0
Resene Horses Neck    #604913
Resene Hot Chile    #8b0723
Resene Hot Curry    #886221
Resene Hot Purple    #480656
Resene Hot Toddy    #b38007
Resene Humming Bird    #cff9f3
Resene Hunter Green    #161d10
Resene Hurricane    #877c7b
Resene Husk    #b7a458
Resene Ice Cold    #b1f4e7
Resene Iceberg    #daf4f0
Resene Illusion    #f6a4c9
Resene Indian Tan    #4d1e01
Resene Indochine    #c26b03
Resene Irish Coffee    #5f3d26
Resene Iroko    #433120
Resene Iron    #d4d7d9
Resene Ironbark    #411f10
Resene Ironside Grey    #676662
Resene Ironstone    #86483c
Resene Island Spice    #fffcee
Resene Jacaranda    #2e0329
Resene Jacarta    #3a2a6a
Resene Jacko Bean    #2e1905
Resene Jacksons Purple    #20208d
Resene Jade    #427977
Resene Jaffa    #ef863f
Resene Jagged Ice    #c2e8e5
Resene Jagger    #350e57
Resene Jaguar    #080110
Resene Jambalaya    #5b3013
Resene Janna    #f4ebd3
Resene Japanese Laurel    #0a6906
Resene Japanese Maple    #780109
Resene Japonica    #d87c63
Resene Jarrah    #341515
Resene Java    #1fc2c2
Resene Jazz    #780109
Resene Jelly Bean    #297b9a
Resene Jet Stream    #b5d2ce
Resene Jewel    #126b40
Resene Joanna    #f5f3e5
Resene Jon    #3b1f1f
Resene Jonquil    #eeff9a
Resene Jordy Blue    #8ab9f1
Resene Judge Grey    #544333
Resene Jumbo    #7c7b82
Resene Jungle Green    #281e15
Resene Jungle Mist    #b4cfd3
Resene Juniper    #6d9292
Resene Just Right    #eccdb9
Resene Kabul    #5e483e
Resene Kaitoke Green    #004620
